Tag,Text
Negative,মাদ্রিদ হারার পর পুরা মনটাই ভাইঙ্গা গেছে :( কিছুই ভালো লাগেনা ... ২ তারিখ কোপেনহেগেন এর সাথে হোম ম্যাচ .... http://fb.me/2MIEwzs4Z
Negative,"আমি মানুষটা খুব একটা ভালো না। আসলে ভালো থেকে কি কোন বিশেষ সুবিধা আছে? না, নাই! ভালো থেকে অনেক দেখেছি, এটার কোন দামই নাই।।।"
Negative,নোয়াখালীতে একজন মারা গেছে পিকেটারদের ইটের আঘাতে :(((
Negative,﻿মন দিতে না পারলে মন ভেঙো না। সুখ দিতে না পারলে কষ্ট দিওনা। ভালোবাসতে না পারলে অভিনয় করিও না। অভিনয় করে কারো জীবন নষ্ট করো না।
Negative,আজাইরা কামে যে প্রচুর সময় নষ্ট করি তা আজকেও আরেকবার প্রমান হইলো :( কামের সময় খালি ঘুম আসে :( এই সমস্যা ওই... http://fb.me/2q2xv8A5H
Negative,একজন লাইক ভিক্কা চাইছিল দি নাই বলে অনেক গালা গালি করলো :( কি দরকার এই সব ভার্চুয়াল খ্যাতি এর। সামান্য একটা লাইক... http://fb.me/2qRZEla36
Negative,কয়েক বছর পিছনে ফিরে যেতে ইচ্ছে করছে :( ইস !!! সত্যি যদি কয়েক বছর পিছনে যেতে পারতাম_তাহলে নিজের সব ভুল গুলো শুধরে নিতে পারতাম :'(
Negative,বাংলা লায়ন একটা বাল... >:( আজকের রোমান্টিক ওয়েদার এ মুখটা খারাপ করাইল... >:(
Negative,"Postulates Of Special Theory Of Relativity এল স্বীকার্যগুলো মাথায় ঢুকছে না :(( পুরাই ""মাথা নষ্ট ম্যান"" টাইপের জিনিস :("
Negative,Frnd list এর কিছু close পোলাপাইন এর তাদের so called gf নিয়ে hunkypunky দেখলে অসহ্য লাগে.. . . Feeling irritated ;-> ;->
Negative,"মেয়েদের রাগ কম, ছেলেদের রাগ বেশি...যার রাগ বেশি তাঁর ভালবাসা ও বেশি...তাই তারা কষ্ট পায় ও বেশি....... : ("
Negative,সবকিছুর-ই একটি নির্দিষ্ট সীমা আছে কিন্তু ভালোবাসার মানুষকে মিস্ করার সময় যে কষ্ট হয় তার কোন সীমা থাকে না....:(
